Orthologue Group ID	ProteinID
OG0000000	KQB09-20432_k31_TRINITY_DN5822_c0_g1_i12
OG0000000	KQB09-20432_k31_TRINITY_DN5822_c0_g1_i5
OG0000000	KQB09-20620_k25_TRINITY_DN44239_c1_g1_i2
OG0000000	KQB09-20620_k25_TRINITY_DN469_c0_g1_i6
OG0000000	KQB09-20620_k25_TRINITY_DN7059_c0_g1_i8
OG0000000	KQB09-20620_k25_TRINITY_DN7059_c0_g1_i9
OG0000000	KQB09-20620_k31_TRINITY_DN17193_c0_g1_i1
OG0000000	KQB09-20620_k31_TRINITY_DN17193_c0_g1_i2
OG0000000	KQB09-20620_k31_TRINITY_DN17193_c0_g1_i3
OG0000000	KQB09-20620_k31_TRINITY_DN17193_c0_g1_i6
OG0000000	KQB09-20620_k31_TRINITY_DN17193_c0_g1_i7
OG0000000	KQB09-20620_k31_TRINITY_DN2006_c0_g2_i1
OG0000000	KQB09-20620_k31_TRINITY_DN24322_c1_g1_i1
OG0000000	KQB09-20620_k31_TRINITY_DN8309_c0_g1_i13
OG0000000	KQB09-23137_k31_TRINITY_DN3519_c0_g2_i1
OG0000000	KQB09-23137_k31_TRINITY_DN3519_c0_g2_i2
OG0000000	KQB09-23137_k31_TRINITY_DN4254_c1_g1_i1
OG0000000	KQB09-23137_k31_TRINITY_DN8447_c1_g1_i1
OG0000000	LCP85-384_k25_TRINITY_DN102749_c1_g1_i2
OG0000000	LCP85-384_k25_TRINITY_DN14451_c0_g1_i1
OG0000000	LCP85-384_k25_TRINITY_DN14451_c0_g1_i2
OG0000000	LCP85-384_k25_TRINITY_DN14451_c0_g1_i3
OG0000000	LCP85-384_k25_TRINITY_DN14451_c0_g1_i4
OG0000000	LCP85-384_k25_TRINITY_DN14451_c0_g1_i6
OG0000000	LCP85-384_k25_TRINITY_DN166009_c0_g1_i1
OG0000000	LCP85-384_k25_TRINITY_DN166009_c0_g1_i2
OG0000000	LCP85-384_k25_TRINITY_DN190530_c0_g1_i1
OG0000000	LCP85-384_k25_TRINITY_DN190530_c1_g1_i1
OG0000000	LCP85-384_k25_TRINITY_DN20500_c0_g1_i1
OG0000000	LCP85-384_k25_TRINITY_DN20500_c1_g1_i1
